id,term,definition,musical_equivalent,math_equivalent,category,astro_equivalent
1969,Phraptimic,6-note scale: 19,Semitone pattern: 314211,,"Scales, Modes, Semitones",
1970,Bacrimic,6-note scale: 19,Semitone pattern: 142113,,"Scales, Modes, Semitones",
1971,Phralimic,6-note scale: 20,Semitone pattern: 413211,,"Scales, Modes, Semitones",
1972,Phrogimic,6-note scale: 20,Semitone pattern: 132114,,"Scales, Modes, Semitones",
1973,Rathimic,6-note scale: 20,Semitone pattern: 321141,,"Scales, Modes, Semitones",
1974,Katocrimic,6-note scale: 20,Semitone pattern: 211413,,"Scales, Modes, Semitones",
1975,Phryptimic,6-note scale: 20,Semitone pattern: 114132,,"Scales, Modes, Semitones",
1976,Katynimic,6-note scale: 20,Semitone pattern: 141321,,"Scales, Modes, Semitones",
1977,Solimic,6-note scale: 21,Semitone pattern: 413121,,"Scales, Modes, Semitones",
1978,Ionolimic,6-note scale: 21,Semitone pattern: 131214,,"Scales, Modes, Semitones",
1979,Ionophimic,6-note scale: 21,Semitone pattern: 312141,,"Scales, Modes, Semitones",
1980,Aeologimic,6-note scale: 21,Semitone pattern: 121413,,"Scales, Modes, Semitones",
1981,Zadimic,6-note scale: 21,Semitone pattern: 214131,,"Scales, Modes, Semitones",
1982,Sygimic,6-note scale: 21,Semitone pattern: 141312,,"Scales, Modes, Semitones",
1983,Thogimic,6-note scale: 22,Semitone pattern: 413112,,"Scales, Modes, Semitones",
1984,Rythimic,6-note scale: 22,Semitone pattern: 131124,,"Scales, Modes, Semitones",
1985,Donimic,6-note scale: 22,Semitone pattern: 311241,,"Scales, Modes, Semitones",
1986,Aeoloptimic,6-note scale: 22,Semitone pattern: 112413,,"Scales, Modes, Semitones",
1987,Panimic,6-note scale: 22,Semitone pattern: 124131,,"Scales, Modes, Semitones",
1988,Lodimic,6-note scale: 22,Semitone pattern: 241311,,"Scales, Modes, Semitones",
1989,Laptimic,6-note scale: 23,Semitone pattern: 412131,,"Scales, Modes, Semitones",
1990,Lygimic,6-note scale: 23,Semitone pattern: 121314,,"Scales, Modes, Semitones",
1991,Logimic,6-note scale: 23,Semitone pattern: 213141,,"Scales, Modes, Semitones",
1992,Lalimic,6-note scale: 23,Semitone pattern: 131412,,"Scales, Modes, Semitones",
1993,Sothimic,6-note scale: 23,Semitone pattern: 314121,,"Scales, Modes, Semitones",
1994,Phrocrimic,6-note scale: 23,Semitone pattern: 141213,,"Scales, Modes, Semitones",
1995,Modimic,6-note scale: 24,Semitone pattern: 412122,,"Scales, Modes, Semitones",
1996,Barimic,6-note scale: 24,Semitone pattern: 121224,,"Scales, Modes, Semitones",
1997,Poptimic,6-note scale: 24,Semitone pattern: 212241,,"Scales, Modes, Semitones",
1998,Sagimic,6-note scale: 24,Semitone pattern: 122412,,"Scales, Modes, Semitones",
1999,Aelothimic,6-note scale: 24,Semitone pattern: 224121,,"Scales, Modes, Semitones",
2000,Socrimic,6-note scale: 24,Semitone pattern: 241212,,"Scales, Modes, Semitones",
2001,Syrimic,6-note scale: 25,Semitone pattern: 412113,,"Scales, Modes, Semitones",
2002,Stodimic,6-note scale: 25,Semitone pattern: 121134,,"Scales, Modes, Semitones",
2003,Ionocrimic,6-note scale: 25,Semitone pattern: 211341,,"Scales, Modes, Semitones",
2004,Zycrimic,6-note scale: 25,Semitone pattern: 113412,,"Scales, Modes, Semitones",
2005,Ionygimic,6-note scale: 25,Semitone pattern: 134121,,"Scales, Modes, Semitones",
2006,Katathimic,6-note scale: 25,Semitone pattern: 341211,,"Scales, Modes, Semitones",
2007,Bolimic,6-note scale: 26,Semitone pattern: 411312,,"Scales, Modes, Semitones",
2008,Bothimic,6-note scale: 26,Semitone pattern: 113124,,"Scales, Modes, Semitones",
2009,Katadimic,6-note scale: 26,Semitone pattern: 131241,,"Scales, Modes, Semitones",
2010,Kodimic,6-note scale: 26,Semitone pattern: 312411,,"Scales, Modes, Semitones",
2011,Tholimic,6-note scale: 26,Semitone pattern: 124113,,"Scales, Modes, Semitones",
2012,Ralimic,6-note scale: 26,Semitone pattern: 241131,,"Scales, Modes, Semitones",
2013,Kanimic,6-note scale: 27,Semitone pattern: 411231,,"Scales, Modes, Semitones",
2014,Zylimic,6-note scale: 27,Semitone pattern: 112314,,"Scales, Modes, Semitones",
2015,Zodimic,6-note scale: 27,Semitone pattern: 123141,,"Scales, Modes, Semitones",
2016,Zarimic,6-note scale: 27,Semitone pattern: 231411,,"Scales, Modes, Semitones",
2017,Phrythimic,6-note scale: 27,Semitone pattern: 314112,,"Scales, Modes, Semitones",
2018,Rorimic,6-note scale: 27,Semitone pattern: 141123,,"Scales, Modes, Semitones",
2019,Pynimic,6-note scale: 28,Semitone pattern: 411132,,"Scales, Modes, Semitones",
2020,Zanimic,6-note scale: 28,Semitone pattern: 111324,,"Scales, Modes, Semitones",
2021,Ranimic,6-note scale: 28,Semitone pattern: 113241,,"Scales, Modes, Semitones",
2022,Ladimic,6-note scale: 28,Semitone pattern: 132411,,"Scales, Modes, Semitones",
2023,Podimic,6-note scale: 28,Semitone pattern: 324111,,"Scales, Modes, Semitones",
2024,Ionothimic,6-note scale: 28,Semitone pattern: 241113,,"Scales, Modes, Semitones",
2025,Kytrimic,6-note scale: 29,Semitone pattern: 411123,,"Scales, Modes, Semitones",
2026,Golimic,6-note scale: 29,Semitone pattern: 111234,,"Scales, Modes, Semitones",
2027,Dyptimic,6-note scale: 29,Semitone pattern: 112341,,"Scales, Modes, Semitones",
2028,Ryrimic,6-note scale: 29,Semitone pattern: 123411,,"Scales, Modes, Semitones",
2029,Gylimic,6-note scale: 29,Semitone pattern: 234111,,"Scales, Modes, Semitones",
2030,Aeolycrimic,6-note scale: 29,Semitone pattern: 341112,,"Scales, Modes, Semitones",
2031,Palimic,6-note scale: 30,Semitone pattern: 332211,,"Scales, Modes, Semitones",
2032,Stothimic,6-note scale: 30,Semitone pattern: 322113,,"Scales, Modes, Semitones",
2033,Aeronimic,6-note scale: 30,Semitone pattern: 221133,,"Scales, Modes, Semitones",
2034,Katagimic,6-note scale: 30,Semitone pattern: 211332,,"Scales, Modes, Semitones",
2035,Phronimic,6-note scale: 30,Semitone pattern: 113322,,"Scales, Modes, Semitones",
2036,Banimic,6-note scale: 30,Semitone pattern: 133221,,"Scales, Modes, Semitones",
2037,Ionodimic,6-note scale: 31,Semitone pattern: 331311,,"Scales, Modes, Semitones",
2038,Bogimic,6-note scale: 31,Semitone pattern: 313113,,"Scales, Modes, Semitones",
2039,Mogimic,6-note scale: 31,Semitone pattern: 131133,,"Scales, Modes, Semitones",
2040,Docrimic,6-note scale: 31,Semitone pattern: 311331,,"Scales, Modes, Semitones",
2041,Epadimic,6-note scale: 31,Semitone pattern: 113313,,"Scales, Modes, Semitones",
2042,Aerynimic,6-note scale: 31,Semitone pattern: 133131,,"Scales, Modes, Semitones",
2043,Mydimic,6-note scale: 32,Semitone pattern: 331131,,"Scales, Modes, Semitones",
2044,Thyptimic,6-note scale: 32,Semitone pattern: 311313,,"Scales, Modes, Semitones",
2045,Phrothimic,6-note scale: 32,Semitone pattern: 113133,,"Scales, Modes, Semitones",
2046,Katycrimic,6-note scale: 32,Semitone pattern: 131331,,"Scales, Modes, Semitones",
2047,Ionalimic,6-note scale: 32,Semitone pattern: 313311,,"Scales, Modes, Semitones",
2048,Loptimic,6-note scale: 32,Semitone pattern: 133113,,"Scales, Modes, Semitones",
2049,Zagimic,6-note scale: 33,Semitone pattern: 331122,,"Scales, Modes, Semitones",
2050,Lagimic,6-note scale: 33,Semitone pattern: 311223,,"Scales, Modes, Semitones",
2051,Thyrimic,6-note scale: 33,Semitone pattern: 112233,,"Scales, Modes, Semitones",
2052,Thothimic,6-note scale: 33,Semitone pattern: 122331,,"Scales, Modes, Semitones",
2053,Bycrimic,6-note scale: 33,Semitone pattern: 223311,,"Scales, Modes, Semitones",
2054,Pathimic,6-note scale: 33,Semitone pattern: 233112,,"Scales, Modes, Semitones",
2055,Mothimic,6-note scale: 34,Semitone pattern: 322131,,"Scales, Modes, Semitones",
2056,Aeranimic,6-note scale: 34,Semitone pattern: 221313,,"Scales, Modes, Semitones",
2057,Ragimic,6-note scale: 34,Semitone pattern: 213132,,"Scales, Modes, Semitones",
2058,Dolimic,6-note scale: 34,Semitone pattern: 131322,,"Scales, Modes, Semitones",
2059,Porimic,6-note scale: 34,Semitone pattern: 313221,,"Scales, Modes, Semitones",
2060,Aerylimic,6-note scale: 34,Semitone pattern: 132213,,"Scales, Modes, Semitones",
2061,Bocrimic,6-note scale: 35,Semitone pattern: 321312,,"Scales, Modes, Semitones",
2062,Gythimic,6-note scale: 35,Semitone pattern: 213123,,"Scales, Modes, Semitones",
2063,Pagimic,6-note scale: 35,Semitone pattern: 131232,,"Scales, Modes, Semitones",
2064,Aeolythimic,6-note scale: 35,Semitone pattern: 312321,,"Scales, Modes, Semitones",
2065,Molimic,6-note scale: 35,Semitone pattern: 123213,,"Scales, Modes, Semitones",
2066,Staptimic,6-note scale: 35,Semitone pattern: 232131,,"Scales, Modes, Semitones",
2067,Zacrimic,6-note scale: 36,Semitone pattern: 321231,,"Scales, Modes, Semitones",
2068,Larimic,6-note scale: 36,Semitone pattern: 212313,,"Scales, Modes, Semitones",
2069,Thacrimic,6-note scale: 36,Semitone pattern: 123132,,"Scales, Modes, Semitones",
2070,Stydimic,6-note scale: 36,Semitone pattern: 231321,,"Scales, Modes, Semitones",
2071,Lorimic,6-note scale: 36,Semitone pattern: 313212,,"Scales, Modes, Semitones",
2072,Ionadimic,6-note scale: 36,Semitone pattern: 132123,,"Scales, Modes, Semitones",
2073,Ionythimic,6-note scale: 37,Semitone pattern: 313131,,"Scales, Modes, Semitones",
2074,Aerythimic,6-note scale: 37,Semitone pattern: 131313,,"Scales, Modes, Semitones",
2075,Dynimic,6-note scale: 38,Semitone pattern: 313122,,"Scales, Modes, Semitones",
2076,Zydimic,6-note scale: 38,Semitone pattern: 131223,,"Scales, Modes, Semitones",
2077,Zathimic,6-note scale: 38,Semitone pattern: 312231,,"Scales, Modes, Semitones",
2078,Radimic,6-note scale: 38,Semitone pattern: 122313,,"Scales, Modes, Semitones",
2079,Stonimic,6-note scale: 38,Semitone pattern: 223131,,"Scales, Modes, Semitones",
2080,Syptimic,6-note scale: 38,Semitone pattern: 231312,,"Scales, Modes, Semitones",
2081,Ponimic,6-note scale: 39,Semitone pattern: 441111,,"Scales, Modes, Semitones",
2082,Kadimic,6-note scale: 39,Semitone pattern: 411114,,"Scales, Modes, Semitones",
2083,Gynimic,6-note scale: 39,Semitone pattern: 111144,,"Scales, Modes, Semitones",
2084,Thydimic,6-note scale: 39,Semitone pattern: 111441,,"Scales, Modes, Semitones",
2085,Polimic,6-note scale: 39,Semitone pattern: 114411,,"Scales, Modes, Semitones",
2086,Thanimic,6-note scale: 39,Semitone pattern: 144111,,"Scales, Modes, Semitones",
2087,Lathimic,6-note scale: 40,Semitone pattern: 431211,,"Scales, Modes, Semitones",
2088,Aeralimic,6-note scale: 40,Semitone pattern: 312114,,"Scales, Modes, Semitones",
2089,Kynimic,6-note scale: 40,Semitone pattern: 121143,,"Scales, Modes, Semitones",
2090,Stynimic,6-note scale: 40,Semitone pattern: 211431,,"Scales, Modes, Semitones",
2091,Epytimic,6-note scale: 40,Semitone pattern: 114312,,"Scales, Modes, Semitones",
2092,Katoptimic,6-note scale: 40,Semitone pattern: 143121,,"Scales, Modes, Semitones",
2093,Galimic,6-note scale: 41,Semitone pattern: 431112,,"Scales, Modes, Semitones",
2094,Kathimic,6-note scale: 41,Semitone pattern: 311124,,"Scales, Modes, Semitones",
2095,Lylimic,6-note scale: 41,Semitone pattern: 111243,,"Scales, Modes, Semitones",
2096,Epalimic,6-note scale: 41,Semitone pattern: 112431,,"Scales, Modes, Semitones",
2097,Epacrimic,6-note scale: 41,Semitone pattern: 124311,,"Scales, Modes, Semitones",
2098,Sathimic,6-note scale: 41,Semitone pattern: 243111,,"Scales, Modes, Semitones",
2099,Katanimic,6-note scale: 42,Semitone pattern: 422211,,"Scales, Modes, Semitones",
2100,Katyrimic,6-note scale: 42,Semitone pattern: 222114,,"Scales, Modes, Semitones",
2101,Rynimic,6-note scale: 42,Semitone pattern: 221142,,"Scales, Modes, Semitones",
2102,Pogimic,6-note scale: 42,Semitone pattern: 211422,,"Scales, Modes, Semitones",
2103,Aeraptimic,6-note scale: 42,Semitone pattern: 114222,,"Scales, Modes, Semitones",
2104,Epylimic,6-note scale: 42,Semitone pattern: 142221,,"Scales, Modes, Semitones",
2105,Manimic,6-note scale: 43,Semitone pattern: 421212,,"Scales, Modes, Semitones",
2106,Marimic,6-note scale: 43,Semitone pattern: 212124,,"Scales, Modes, Semitones",
2107,Locrimic,6-note scale: 43,Semitone pattern: 121242,,"Scales, Modes, Semitones",
2108,Rylimic,6-note scale: 43,Semitone pattern: 212421,,"Scales, Modes, Semitones",
2109,Epatimic,6-note scale: 43,Semitone pattern: 124212,,"Scales, Modes, Semitones",
2110,Byrimic,6-note scale: 43,Semitone pattern: 242121,,"Scales, Modes, Semitones",
2111,Kocrimic,6-note scale: 44,Semitone pattern: 421113,,"Scales, Modes, Semitones",
2112,Korimic,6-note scale: 44,Semitone pattern: 211134,,"Scales, Modes, Semitones",
2113,Lynimic,6-note scale: 44,Semitone pattern: 111342,,"Scales, Modes, Semitones",
2114,Malimic,6-note scale: 44,Semitone pattern: 113421,,"Scales, Modes, Semitones",
2115,Synimic,6-note scale: 44,Semitone pattern: 134211,,"Scales, Modes, Semitones",
2116,Phragimic,6-note scale: 44,Semitone pattern: 342111,,"Scales, Modes, Semitones",
2117,Mycrimic,6-note scale: 45,Semitone pattern: 411222,,"Scales, Modes, Semitones",
2118,Ionorimic,6-note scale: 45,Semitone pattern: 112224,,"Scales, Modes, Semitones",
2119,Phrydimic,6-note scale: 45,Semitone pattern: 122241,,"Scales, Modes, Semitones",
2120,Zyptimic,6-note scale: 45,Semitone pattern: 222411,,"Scales, Modes, Semitones",
2121,Katothimic,6-note scale: 45,Semitone pattern: 224112,,"Scales, Modes, Semitones",
2122,Phrylimic,6-note scale: 45,Semitone pattern: 241122,,"Scales, Modes, Semitones",
2123,Aerothimic,6-note scale: 46,Semitone pattern: 411213,,"Scales, Modes, Semitones",
2124,Stagimic,6-note scale: 46,Semitone pattern: 112134,,"Scales, Modes, Semitones",
2125,Dorimic,6-note scale: 46,Semitone pattern: 121341,,"Scales, Modes, Semitones",
2126,Phrycrimic,6-note scale: 46,Semitone pattern: 213411,,"Scales, Modes, Semitones",
2127,Kyptimic,6-note scale: 46,Semitone pattern: 134112,,"Scales, Modes, Semitones",
2128,Ionylimic,6-note scale: 46,Semitone pattern: 341121,,"Scales, Modes, Semitones",
2129,Epynimic,6-note scale: 47,Semitone pattern: 333111,,"Scales, Modes, Semitones",
2130,Ionogimic,6-note scale: 47,Semitone pattern: 331113,,"Scales, Modes, Semitones",
2131,Kydimic,6-note scale: 47,Semitone pattern: 311133,,"Scales, Modes, Semitones",
2132,Gaptimic,6-note scale: 47,Semitone pattern: 111333,,"Scales, Modes, Semitones",
2133,Tharimic,6-note scale: 47,Semitone pattern: 113331,,"Scales, Modes, Semitones",
2134,Ionaphimic,6-note scale: 47,Semitone pattern: 133311,,"Scales, Modes, Semitones",
2135,Thoptimic,6-note scale: 48,Semitone pattern: 332121,,"Scales, Modes, Semitones",
2136,Bagimic,6-note scale: 48,Semitone pattern: 321213,,"Scales, Modes, Semitones",
2137,Kyrimic,6-note scale: 48,Semitone pattern: 212133,,"Scales, Modes, Semitones",
2138,Sonimic,6-note scale: 48,Semitone pattern: 121332,,"Scales, Modes, Semitones",
2139,Aeolonimic,6-note scale: 48,Semitone pattern: 213321,,"Scales, Modes, Semitones",
2140,Rygimic,6-note scale: 48,Semitone pattern: 133212,,"Scales, Modes, Semitones",
2141,Thagimic,6-note scale: 49,Semitone pattern: 332112,,"Scales, Modes, Semitones",
2142,Kolimic,6-note scale: 49,Semitone pattern: 321123,,"Scales, Modes, Semitones",
2143,Dycrimic,6-note scale: 49,Semitone pattern: 211233,,"Scales, Modes, Semitones",
2144,Epycrimic,6-note scale: 49,Semitone pattern: 112332,,"Scales, Modes, Semitones",
2145,Gocrimic,6-note scale: 49,Semitone pattern: 123321,,"Scales, Modes, Semitones",
2146,Katolimic,6-note scale: 49,Semitone pattern: 233211,,"Scales, Modes, Semitones",
2147,Dagimic,6-note scale: 50,Semitone pattern: 331221,,"Scales, Modes, Semitones",
2148,Aeolydimic,6-note scale: 50,Semitone pattern: 312213,,"Scales, Modes, Semitones",
2149,Parimic,6-note scale: 50,Semitone pattern: 122133,,"Scales, Modes, Semitones",
2150,Ionaptimic,6-note scale: 50,Semitone pattern: 221331,,"Scales, Modes, Semitones",
2151,Thylimic,6-note scale: 50,Semitone pattern: 213312,,"Scales, Modes, Semitones",
2152,Lolimic,6-note scale: 50,Semitone pattern: 133122,,"Scales, Modes, Semitones",
2153,Thalimic,6-note scale: 51,Semitone pattern: 331212,,"Scales, Modes, Semitones",
2154,Stygimic,6-note scale: 51,Semitone pattern: 312123,,"Scales, Modes, Semitones",
2155,Aeolygimic,6-note scale: 51,Semitone pattern: 121233,,"Scales, Modes, Semitones",
2156,Aerogimic,6-note scale: 51,Semitone pattern: 212331,,"Scales, Modes, Semitones",
2157,Dacrimic,6-note scale: 51,Semitone pattern: 123312,,"Scales, Modes, Semitones",
2158,Baptimic,6-note scale: 51,Semitone pattern: 233121,,"Scales, Modes, Semitones",
2159,Stythimic,6-note scale: 52,Semitone pattern: 323121,,"Scales, Modes, Semitones",
2160,Kothimic,6-note scale: 52,Semitone pattern: 231213,,"Scales, Modes, Semitones",
2161,Pygimic,6-note scale: 52,Semitone pattern: 312132,,"Scales, Modes, Semitones",
2162,Rodimic,6-note scale: 52,Semitone pattern: 121323,,"Scales, Modes, Semitones",
2163,Sorimic,6-note scale: 52,Semitone pattern: 213231,,"Scales, Modes, Semitones",
2164,Monimic,6-note scale: 52,Semitone pattern: 132312,,"Scales, Modes, Semitones",
2165,Aeragimic,6-note scale: 53,Semitone pattern: 322221,,"Scales, Modes, Semitones",
2166,Epothimic,6-note scale: 53,Semitone pattern: 222213,,"Scales, Modes, Semitones",
2167,Salimic,6-note scale: 53,Semitone pattern: 222132,,"Scales, Modes, Semitones",
2168,Lyptimic,6-note scale: 53,Semitone pattern: 221322,,"Scales, Modes, Semitones",
2169,Katonimic,6-note scale: 53,Semitone pattern: 213222,,"Scales, Modes, Semitones",
2170,Gygimic,6-note scale: 53,Semitone pattern: 132222,,"Scales, Modes, Semitones",
2171,Aeradimic,6-note scale: 54,Semitone pattern: 321321,,"Scales, Modes, Semitones",
2172,Zyrimic,6-note scale: 54,Semitone pattern: 213213,,"Scales, Modes, Semitones",
2173,Stylimic,6-note scale: 54,Semitone pattern: 132132,,"Scales, Modes, Semitones",
2174,Lythimic,6-note scale: 55,Semitone pattern: 312312,,"Scales, Modes, Semitones",
2175,Dodimic,6-note scale: 55,Semitone pattern: 123123,,"Scales, Modes, Semitones",
2176,Katalimic,6-note scale: 55,Semitone pattern: 231231,,"Scales, Modes, Semitones",
2177,Boptimic,6-note scale: 56,Semitone pattern: 312222,,"Scales, Modes, Semitones",
2178,Stogimic,6-note scale: 56,Semitone pattern: 122223,,"Scales, Modes, Semitones",
2179,Thynimic,6-note scale: 56,Semitone pattern: 222231,,"Scales, Modes, Semitones",
2180,Aeolathimic,6-note scale: 56,Semitone pattern: 222312,,"Scales, Modes, Semitones",
2181,Bythimic,6-note scale: 56,Semitone pattern: 223122,,"Scales, Modes, Semitones",
2182,Padimic,6-note scale: 56,Semitone pattern: 231222,,"Scales, Modes, Semitones",
2183,Dathimic,6-note scale: 57,Semitone pattern: 422112,,"Scales, Modes, Semitones",
2184,Epagimic,6-note scale: 57,Semitone pattern: 221124,,"Scales, Modes, Semitones",
2185,Raptimic,6-note scale: 57,Semitone pattern: 211242,,"Scales, Modes, Semitones",
2186,Epolimic,6-note scale: 57,Semitone pattern: 112422,,"Scales, Modes, Semitones",
2187,Sythimic,6-note scale: 57,Semitone pattern: 124221,,"Scales, Modes, Semitones",
2188,Sydimic,6-note scale: 57,Semitone pattern: 242211,,"Scales, Modes, Semitones",
2189,Gacrimic,6-note scale: 58,Semitone pattern: 421122,,"Scales, Modes, Semitones",
2190,Borimic,6-note scale: 58,Semitone pattern: 211224,,"Scales, Modes, Semitones",
2191,Sycrimic,6-note scale: 58,Semitone pattern: 112242,,"Scales, Modes, Semitones",
2192,Gadimic,6-note scale: 58,Semitone pattern: 122421,,"Scales, Modes, Semitones",
2193,Aeolocrimic,6-note scale: 58,Semitone pattern: 224211,,"Scales, Modes, Semitones",
2194,Phrygimic,6-note scale: 58,Semitone pattern: 242112,,"Scales, Modes, Semitones",
2195,WholeTone,6-note scale: 59,Semitone pattern: 222222,,"Scales, Modes, Semitones",
2196,Lydian,7-note scale: 1,Semitone pattern: 2221221,,"Scales, Modes, Semitones",
2197,Mixolydian,7-note scale: 1,Semitone pattern: 2212212,,"Scales, Modes, Semitones",
2198,Aeolian,7-note scale: 1,Semitone pattern: 2122122,,"Scales, Modes, Semitones",
2199,Locrian,7-note scale: 1,Semitone pattern: 1221222,,"Scales, Modes, Semitones",
2200,Ionian,7-note scale: 1,Semitone pattern: 2212221,,"Scales, Modes, Semitones",
